performance_medium_id,performance_medium_type_id,performance_medium_description
brass.alphorn,brass,Alphorn
brass.alto-horn,brass,Alto Horn
brass.baritone-horn,brass,Baritone Horn
brass.bugle,brass,Bugle
brass.bugle.alto,brass,Alto Bugle
brass.bugle.baritone,brass,Baritone Bugle
brass.bugle.contrabass,brass,Contrabass Bugle
brass.bugle.euphonium-bugle,brass,Euphonium-Bugle
brass.bugle.mellophone-bugle,brass,Mellophone-Bugle
brass.bugle.soprano,brass,Soprano Bugle
brass.cimbasso,brass,Cimbasso
brass.conch-shell,brass,Conch Shell
brass.cornet,brass,Cornet
brass.cornet.soprano,brass,Soprano Cornet
brass.cornett,brass,Cornett
brass.cornett.tenor,brass,Tenor Cornett
brass.cornettino,brass,Cornettino
brass.didgeridoo,brass,Didgeridoo
brass.euphonium,brass,Euphonium
brass.fiscorn,brass,Fiscom
brass.horn.b,brass,Horn in B
brass.flugelhorn,brass,Flugelhorn
brass.french-horn,brass,French Horn
brass.group,brass,Group (Brass)
brass.group.synth,brass,Group Synth. (Brass)
brass.helicon,brass,Helicon
brass.horagai,brass,Horagai
brass.kuhlohorn,brass,Kuhlohorn
brass.mellophone,brass,Mellophone
brass.natural-horn,brass,Natural Horn
brass.ophicleide,brass,Ophicleide
brass.posthorn,brass,Posthorn
brass.rag-dung,brass,Rag Dung
brass.sackbutt,brass,Sackbutt
brass.sackbutt.alto,brass,Alto Sackbutt
brass.sackbutt.bass,brass,Bass Sackbutt
brass.sackbutt.tenor,brass,Tenor Sackbutt
brass.saxhorn,brass,Saxohorn
brass.serpent,brass,Serpent
brass.shofar,brass,Shofar
brass.sousaphone,brass,Sousaphone
brass.trombone,brass,Trombone
brass.trombone.alto,brass,Alto Trombone
brass.trombone.bass,brass,Bass Trombone
brass.trombone.contrabass,brass,Contrabass Trombone
brass.trombone.tenor,brass,Tenor Trombone
brass.trumpet,brass,Trumpet
brass.trumpet.baroque,brass,Baroque Trumpet
brass.trumpet.bass,brass,Bass Trumpet
brass.trumpet.bflat,brass,Trumpet in B flat
brass.trumpet.c,brass,Trumpet in C
brass.trumpet.d,brass,Trumpet in D
brass.trumpet.b,brass,Trumpet in B
brass.trumpet.piccolo,brass,Piccolo Trumpet
brass.trumpet.pocket,brass,Pocket Trumpet
brass.trumpet.slide,brass,Slide Trumpet
brass.trumpet.tenor,brass,Tenor Trumpet
brass.tuba,brass,Tuba
brass.tuba.bass,brass,Bass Tuba
brass.tuba.subcontrabass,brass,Subcontrabass Tuba
brass.vienna-horn,brass,Vienna Horn
brass.vuvuzela,brass,Vuvuzela
brass.wagner-tuba,brass,Wagner Tuba
drum.drum,drum,Drums
drum.side-drum,drum,Side Drum
drum.apentemma,drum,Apentemma
drum.ashiko,drum,Ashiko
drum.atabaque,drum,Atabaque
drum.atoke,drum,Atoke
drum.atsimevu,drum,Atsimevu
drum.axatse,drum,Axatse
drum.bass-drum,drum,Bass Drum
drum.bata,drum,Bata
drum.bata.itotele,drum,Itolele Bata
drum.bata.iya,drum,Iya Bata
drum.bata.okonkolo,drum,Okonkolo Bata
drum.bendir,drum,Bendir
drum.bodhran,drum,Bodhran
drum.bombo,drum,Bombo
drum.bongo,drum,Bongo
drum.bougarabou,drum,Bougarabou
drum.buffalo-drum,drum,Buffalo Drum
drum.cajon,drum,Cajon
drum.chenda,drum,Chenda
drum.chu-daiko,drum,Chu Daiko
drum.conga,drum,Conga
drum.cuica,drum,Cuica
drum.dabakan,drum,Dabakan
drum.daff,drum,Daff
drum.dafli,drum,Dafli
drum.daibyosi,drum,Daibyosi
drum.damroo,drum,Damroo
drum.darabuka,drum,Darabuka
drum.def,drum,Def
drum.dhol,drum,Dhol
drum.dholak,drum,Dholak
drum.djembe,drum,Djembe
drum.doira,drum,Doira
drum.dondo,drum,Dondo
